symbol,name,cik,cusip,isin,stock_exchange,long_description,ceo,company_url,business_phone_no,hq_address1,hq_address_city,hq_address_postal_code,hq_state,hq_country,employees,sector,industry_category,first_stock_price_date,is_etf,is_actively_trading,is_adr,is_fund,image,currency,market_cap,last_price,year_high,year_low,volume_avg,annualized_dividend_amount,beta,Stock
ADBE,Adobe Inc.,0000796343,00724F101,US00724F1012,NASDAQ Global Select,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",Mr. Shantanu  Narayen,https://www.adobe.com,408 536 6000,345 Park Avenue,San Jose,95110-2704,CA,US,30709,Technology,Software - Infrastructure,1986-08-13,False,True,False,False,https://images.financialmodelingprep.com/symbol/ADBE.png,USD,175541825080,403.64,587.75,374.5,3805022,0.0,1.37,ADBE
ADI,"Analog Devices, Inc.",0000006281,032654105,US0326541051,NASDAQ Global Select,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Mr. Vincent T. Roche,https://www.analog.com,781 935 5565,One Analog Way,Wilmington,01887,MA,US,24000,Technology,Semiconductors,1980-03-17,False,True,False,False,https://images.financialmodelingprep.com/symbol/ADI.png,USD,105930554080,213.58,247.1,182.57,3714108,3.75,1.072,ADI
ADM,Archer-Daniels-Midland Company,0000007084,039483102,US0394831020,New York Stock Exchange,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, Cayman Islands, Brazil, Mexico, the United Kingdom, and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Mr. Juan Ricardo Luciano,https://www.adm.com,312 634 8100,77 West Wacker Drive,Chicago,60601,IL,US,42383,Consumer Defensive,Agricultural Farm Products,1980-03-17,False,True,False,False,https://images.financialmodelingprep.com/symbol/ADM.png,USD,22090507350,46.05,66.08,44.92,4632228,2.01,0.662,ADM
ADP,"Automatic Data Processing, Inc.",0000008670,053015103,US0530151036,NASDAQ Global Select,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Ms. Maria  Black,https://www.adp.com,973 974 5000,One ADP Boulevard,Roseland,07068,NJ,US,64000,Industrials,Staffing & Employment Services,1980-03-17,False,True,False,False,https://images.financialmodelingprep.com/symbol/ADP.png,USD,121809039980,299.38,322.84,231.27,1771877,6.16,0.777,ADP
ADSK,"Autodesk, Inc.",0000769397,052769106,US0527691069,NASDAQ Global Select,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Rafael, California.",Dr. Andrew  Anagnost Ph.D.,https://www.autodesk.com,415 507 5000,111 McInnis Parkway,San Rafael,94903,CA,US,15300,Technology,Software - Application,1985-06-28,False,True,False,False,https://images.financialmodelingprep.com/symbol/ADSK.png,USD,58166040000,273.08,326.62,195.32,1646686,0.0,1.509,ADSK
AEE,Ameren Corporation,0001002910,023608102,US0236081024,New York Stock Exchange,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, wind, methane gas, and solar. The company serves residential, commercial, and industrial customers. Ameren Corporation was founded in 1881 and is headquartered in St. Louis, Missouri.",Mr. Martin J. Lyons Jr.,https://www.ameren.com,314 621 3222,One Ameren Plaza,Saint Louis,63103,MO,US,8981,Utilities,Regulated Electric,1998-01-02,False,True,False,False,https://images.financialmodelingprep.com/symbol/AEE.png,USD,26229465080,97.18,104.1,69.39,1746354,2.72,0.493,AEE
AEM,Agnico Eagle Mines Limited,0000002809,008474108,CA0084741085,New York Stock Exchange,"Agnico Eagle Mines Limited engages in the exploration, development, and production of mineral properties in Canada, Mexico, and Finland. It operates through Northern Business and Southern Business segments. The company primarily produces and sells gold deposits, as well as explores for silver, zinc, and copper deposits. Its flagship property is the LaRonde mine located in the Abitibi region of northwestern Quebec, Canada. As of December 31, 2021, the company's LaRonde mine had proven and probable mineral reserves of approximately 3.0 million ounces of gold. It is also involved in exploration activities in Europe, Latin America, and the United States. The company was incorporated in 1953 and is headquartered in Toronto, Canada.",Mr. Ammar  Al-Joundi M.B.A.,https://www.agnicoeagle.com,14169471212,145 King Street East,Toronto,M5C 2Y7,ON,CA,10125,Basic Materials,Gold,1972-06-01,False,True,False,False,https://images.financialmodelingprep.com/symbol/AEM.png,USD,53034698214,105.45,107.88,56.19,2287894,1.6,0.995,AEM
AEP,"American Electric Power Company, Inc.",0000004904,025537101,US0255371017,NASDAQ Global Select,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, hydro, solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",Mr. William J. Fehrman,https://www.aep.com,614 716 1000,1 Riverside Plaza,Columbus,43215-2373,OH,US,16330,Utilities,Regulated Electric,1962-01-02,False,True,False,False,https://images.financialmodelingprep.com/symbol/AEP.png,USD,54654127500,102.5,109.52,79.16,3743315,3.62,0.492,AEP
AER,AerCap Holdings N.V.,0001378789,N00985106,NL0000687663,New York Stock Exchange,"AerCap Holdings N.V. engages in the lease, financing, sale, and management of commercial flight equipment in China, Hong Kong, Macau, the United States, Ireland, and internationally. The company offers aircraft asset management services, such as remarketing aircraft and engines; collecting rental and maintenance rent payments, monitoring aircraft maintenance, monitoring and enforcing contract compliance, and accepting delivery and redelivery of aircraft and engines; and conducting ongoing lessee financial performance reviews. Its aircraft asset management services also include periodically inspecting the leased aircraft; coordinating technical modifications to aircraft to meet new lessee requirements; conducting restructuring negotiations in connection with lease defaults; repossessing aircraft and engines; arranging and monitoring insurance coverage; registering and de-registering aircraft; arranging for aircraft and engine valuations; and providing market research services. The company also provides cash management services, including treasury services, such as the financing, refinancing, hedging, and ongoing cash management of vehicles; and administrative services comprising accounting and corporate secretarial services consisting of the preparation of budgets and financial statements. In addition, it offers airframe and engine parts and supply chain solutions to airlines; maintenance, repair, and overhaul service providers; and aircraft parts distributors. As of December 31, 2021, the company had a portfolio of 2,369 owned, managed, or on order aircraft. AerCap Holdings N.V. was founded in 1995 and is headquartered in Dublin, Ireland.",Mr. Aengus  Kelly A.C.A.,https://www.aercap.com,353 1 819 2010,AerCap House,Dublin,D02 YX20,,IE,698,Industrials,Rental & Leasing Services,2006-11-21,False,True,False,False,https://images.financialmodelingprep.com/symbol/AER.png,USD,19227442020,102.94,107.36,81.93,1374606,1.02,1.836,AER
AFL,Aflac Incorporated,0000004977,001055102,US0010551028,New York Stock Exchange,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care income support, GIFT, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products in Japan. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is based in Columbus, Georgia.",Mr. Daniel Paul Amos,https://www.aflac.com,706 323 3431,1932 Wynnton Road,Columbus,31999,GA,US,12694,Financial Services,Insurance - Life,1980-03-17,False,True,False,False,https://images.financialmodelingprep.com/symbol/AFL.png,USD,59977101240,109.73,115.5,79.31,1906374,2.32,0.926,AFL
AFRM,"Affirm Holdings, Inc.",0001820953,00827B106,US00827B1061,NASDAQ Global Select,"Affirm Holdings, Inc. operates a platform for digital and mobile-first commerce in the United States and Canada. The company's platform includes point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. Its payments network and partnership with an originating bank, enables consumers to pay for a purchase over time with terms ranging from one to forty-eight months. As of June 30, 2021, the company had approximately 29,000 merchants integrated on its platform covering small businesses, large enterprises, direct-to-consumer brands, brick-and-mortar stores, and companies. Its merchants represent a range of industries, including sporting goods and outdoors, furniture and homewares, travel, apparel, accessories, consumer electronics, and jewelry. The company was founded in 2012 and is headquartered in San Francisco, California.",Mr. Max Roth Levchin,https://www.affirm.com,415 984 0490,650 California Street,San Francisco,94108,CA,US,2006,Technology,Software - Infrastructure,2021-01-13,False,True,False,False,https://images.financialmodelingprep.com/symbol/AFRM.png,USD,16302522283,50.93,82.527,22.25,7373630,0.0,3.638,AFRM
